CarName,wheelbase,carlength,carwidth,carheight,curbweight,doornumber,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
Audi,93.7,156.9,63.4,53.7,2050,2,4,97,3.62,2.36,9,69,4900,31,36,5118
Audi,88.4,141.1,60.3,53.2,1488,2,3,61,2.91,3.03,9.5,48,5100,47,53,5151
Audi,93.1,159.1,64.2,54.1,1890,2,4,91,3.03,3.15,9,68,5000,30,31,5195
Audi,95.7,158.7,63.6,54.5,1985,2,4,92,3.05,3.03,9,62,4800,35,39,5348
Audi,93.7,157.3,64.4,50.8,1918,2,4,92,2.97,3.23,9.4,68,5500,37,41,5389
Audi,93.7,150,64,52.6,1837,2,4,79,2.91,3.07,10.1,60,5500,38,42,5399
Audi,94.5,165.3,63.8,54.5,1889,2,4,97,3.15,3.29,9.4,69,5200,31,37,5499
Audi,93.7,157.3,63.8,50.8,1876,2,4,90,2.97,3.23,9.41,68,5500,37,41,5572
Audi,93.7,157.3,63.8,50.8,1918,2,4,90,2.97,3.23,9.4,68,5500,37,41,5572
Audi,93.1,159.1,64.2,54.1,1900,2,4,91,3.03,3.15,9,68,5000,31,38,6095
Audi,93.7,157.3,64.4,50.8,1944,2,4,92,2.97,3.23,9.4,68,5500,31,38,6189
Audi,93.7,157.3,63.8,50.6,1967,4,4,90,2.97,3.23,9.4,68,5500,31,38,6229
Audi,93.7,157.3,63.8,50.6,1967,4,4,90,2.97,3.23,9.4,68,5500,31,38,6229
Audi,94.5,155.9,63.6,52,1874,2,4,90,3.03,3.11,9.6,70,5400,38,43,6295
Audi,95.7,158.7,63.6,54.5,2040,2,4,92,3.05,3.03,9,62,4800,31,38,6338
Audi,93.7,157.3,63.8,50.8,1876,2,4,90,2.97,3.23,9.4,68,5500,31,38,6377
Audi,86.6,144.6,63.9,50.8,1713,2,4,92,2.91,3.41,9.6,58,4800,49,54,6479
Audi,95.7,158.7,63.6,54.5,2015,4,4,92,3.05,3.03,9,62,4800,31,38,6488
Audi,93.7,150,64,52.6,1940,2,4,92,2.91,3.41,9.2,76,6000,30,34,6529
Audi,94.5,158.8,63.6,52,1909,4,4,90,3.03,3.11,9.6,70,5400,38,43,6575
Audi,94.5,165.3,63.8,54.5,1918,2,4,97,3.15,3.29,9.4,69,5200,31,37,6649
Audi,93.7,157.3,64.4,50.8,2004,2,4,92,2.97,3.23,9.4,68,5500,31,38,6669
Audi,93.7,157.3,63.8,50.6,1989,4,4,90,2.97,3.23,9.4,68,5500,31,38,6692
Audi,93.7,167.3,63.8,50.8,1989,4,4,90,2.97,3.23,9.4,68,5500,31,38,6692
Audi,93.1,166.8,64.2,54.1,1945,4,4,91,3.03,3.15,9,68,5000,31,38,6695
Audi,94.3,170.7,61.8,53.5,2337,4,4,111,3.31,3.23,8.5,78,4800,24,29,6785
Audi,93.1,159.1,64.2,54.1,1905,2,4,91,3.03,3.15,9,68,5000,31,38,6795
Audi,94.5,165.3,63.8,54.5,1938,4,4,97,3.15,3.29,9.4,69,5200,31,37,6849
Audi,86.6,144.6,63.9,50.8,1819,2,4,92,2.91,3.41,9.2,76,6000,31,38,6855
Audi,95.7,169.7,63.6,59.1,2280,4,4,92,3.05,3.03,9,62,4800,31,37,6918
Audi,95.7,166.3,64.4,53,2081,4,4,98,3.19,3.03,9,70,4800,30,37,6938
Audi,96.3,172.4,65.4,51.6,2365,4,4,122,3.35,3.46,8.5,88,5000,25,32,6989
Audi,93.7,157.9,63.6,53.7,2120,2,4,108,3.62,2.64,8.7,73,4400,26,31,7053
Audi,94.5,165.3,63.8,54.5,2017,2,4,103,2.99,3.47,21.9,55,4800,45,50,7099
Audi,97.2,172,65.4,52.5,2145,4,4,108,3.62,2.64,9.5,82,4800,32,37,7126
Audi,93.7,150,64,52.6,1956,2,4,92,2.91,3.41,9.2,76,6000,30,34,7129
Audi,95.7,166.3,64.4,52.8,2109,4,4,98,3.19,3.03,9,70,4800,30,37,7198
Audi,96.5,163.4,64,54.5,2010,4,4,92,2.91,3.41,9.2,76,6000,30,34,7295
Audi,96.5,157.1,63.9,58.3,2024,4,4,92,2.92,3.41,9.2,76,6000,30,34,7295
Audi,94.5,165.3,63.8,54.5,1951,2,4,97,3.15,3.29,9.4,69,5200,31,37,7299
Audi,94.5,170.2,63.8,53.5,2024,4,4,97,3.15,3.29,9.4,69,5200,31,37,7349
Audi,93.1,166.8,64.2,54.1,1950,4,4,91,3.08,3.15,9,68,5000,31,38,7395
Audi,97,173.5,65.4,53,2290,4,4,108,3.62,2.64,9,82,4800,28,32,7463
Audi,94.5,165.3,63.8,54.5,1971,4,4,97,3.15,3.29,9.4,69,5200,31,37,7499
Audi,93.3,157.3,63.8,55.7,2240,2,4,108,3.62,2.64,8.7,73,4400,26,31,7603
Audi,93.7,157.3,63.8,50.6,1989,4,4,90,2.97,3.23,9.4,68,5500,31,38,7609
Audi,93.7,167.3,63.8,50.8,2191,4,4,98,2.97,3.23,9.4,68,5500,31,38,7609
Audi,93,157.3,63.8,50.8,2145,2,4,98,3.03,3.39,7.6,102,5500,24,30,7689
Audi,95.7,166.3,64.4,53,2094,4,4,98,3.19,3.03,9,70,4800,38,47,7738
Audi,97.2,172,65.4,52.5,2190,4,4,108,3.62,2.64,9.5,82,4400,28,33,7775
BMW,97.3,171.7,65.5,55.7,2261,2,4,97,3.01,3.4,23,52,4800,37,46,7775
BMW,95.7,166.3,64.4,52.8,2275,4,4,110,3.27,3.35,22.5,56,4500,38,47,7788
BMW,94.5,165.6,63.8,53.3,2028,2,4,97,3.15,3.29,9.4,69,5200,31,37,7799
BMW,96.5,167.5,65.2,53.3,2236,2,4,110,3.15,3.58,9,86,5800,27,33,7895
BMW,95.7,169.7,63.6,59.1,2290,4,4,92,3.05,3.03,9,62,4800,27,32,7898
BMW,95.7,166.3,64.4,53,2275,4,4,110,3.27,3.35,22.5,56,4500,34,36,7898
BMW,93.7,157.3,63.8,50.8,2128,2,4,98,3.03,3.39,7.6,102,5500,24,30,7957
BMW,93.7,157.3,63.8,50.8,2128,2,4,98,3.03,3.39,7.6,102,5500,24,30,7957
BMW,97.3,171.7,65.5,55.7,2209,2,4,109,3.19,3.4,9,85,5250,27,34,7975
BMW,97.3,171.7,65.5,55.7,2264,4,4,97,3.01,3.4,23,52,4800,37,46,7995
BMW,94.5,170.2,63.8,53.5,2037,4,4,97,3.15,3.29,9.4,69,5200,31,37,7999
BMW,96.9,173.6,65.4,54.9,2420,4,4,108,3.62,2.64,9,82,4800,23,29,8013
BMW,94.5,168.7,64,52.6,2169,2,4,98,3.19,3.03,9,70,4800,29,34,8058
BMW,96.3,172.4,65.4,51.6,2405,4,4,122,3.35,3.46,8.5,88,5000,25,32,8189
BMW,97.3,171.7,65.5,55.7,2212,4,4,109,3.19,3.4,9,85,5250,27,34,8195
BMW,94.5,168.7,64,52.6,2204,2,4,98,3.19,3.03,9,70,4800,29,34,8238
BMW,95.1,162.4,63.8,53.3,2008,2,4,97,3.15,3.29,9.4,69,5200,31,37,8249
BMW,95.7,166.3,64.4,52.8,2122,4,4,98,3.19,3.03,9,70,4800,28,34,8358
BMW,98.4,176.2,65.6,52,2540,2,4,146,3.62,3.5,9.3,116,4800,24,30,8449
BMW,98.8,177.8,66.5,55.5,2410,4,4,122,3.39,3.39,8.6,84,4800,26,32,8495
BMW,97.3,171.7,65.5,55.7,2275,4,4,109,3.19,3.4,9,85,5250,27,34,8495
BMW,96.3,173,65.4,49.4,2328,2,4,122,3.35,3.46,8.5,88,5000,25,32,8499
BMW,93.7,157.3,63.8,50.6,2191,2,4,98,3.03,3.39,7.6,102,5500,24,30,8558
BMW,95.7,169.7,63.6,59.1,3110,4,4,92,3.05,3.03,9,62,4800,27,32,8778
BMW,96.5,175.4,65.2,54.1,2304,4,4,110,3.15,3.58,9,86,5800,27,33,8845
BMW,98.8,177.8,66.5,53.7,2385,2,4,122,3.39,3.39,8.6,84,4800,26,32,8845
BMW,94.5,155.9,63.6,52,1874,2,4,90,3.03,3.11,9.6,70,5400,38,43,8916.5
BMW,94.5,155.9,63.6,52,1909,4,4,90,3.03,3.11,9.6,70,5400,38,43,8916.5
BMW,103.3,174.6,64.6,59.8,2535,4,4,122,3.34,3.46,8.5,88,5000,24,30,8921
BMW,103.3,174.6,64.6,59.8,2535,4,4,122,3.35,3.46,8.5,88,5000,24,30,8921
BMW,102.4,175.6,66.5,54.9,2326,4,4,122,3.31,3.54,8.7,92,4200,29,34,8948
BMW,97.2,173.4,65.2,54.7,2324,4,4,120,3.33,3.47,8.5,97,5200,27,34,8949
BMW,96.5,167.5,65.2,53.3,2289,2,4,110,3.15,3.58,9,86,5800,27,33,9095
BMW,97,172,65.4,54.3,2385,4,4,108,3.62,2.64,9,82,4800,24,25,9233
BMW,95.7,166.3,64.4,52.8,2140,4,4,98,3.19,3.03,9,70,4800,28,34,9258
BMW,96.3,172.4,65.4,51.6,2403,4,4,110,3.17,3.46,7.5,116,5500,23,30,9279
BMW,96.3,172.4,65.4,51.6,2403,4,4,110,3.17,3.46,7.5,116,5500,23,30,9279
BMW,96.1,181.5,66.5,55.2,2579,4,4,132,3.46,3.9,8.7,90,5100,23,31,9295
BMW,94.5,168.7,64,52.6,2265,2,4,98,3.24,3.08,9.4,112,6600,26,29,9298
BMW,97.3,171.7,65.5,55.7,2319,4,4,97,3.01,3.4,23,68,4500,37,42,9495
BMW,94.5,168.7,64,52.6,2300,2,4,98,3.24,3.08,9.4,112,6600,26,29,9538
BMW,97.2,173.4,65.2,54.7,2302,4,4,120,3.33,3.47,8.5,97,5200,27,34,9549
BMW,98.4,176.2,65.6,52,2536,2,4,146,3.62,3.5,9.3,116,4800,24,30,9639
BMW,96.1,176.8,66.6,50.5,2460,2,4,132,3.46,3.9,8.7,90,5100,23,31,9895
BMW,96.3,173,65.4,49.4,2370,2,4,110,3.17,3.46,7.5,116,5500,23,30,9959
BMW,97.2,172,65.4,52.5,2340,4,4,108,3.62,2.64,9,94,5200,26,32,9960
BMW,94.5,165.7,64,51.4,2221,2,4,109,3.19,3.4,8.5,90,5500,24,29,9980
BMW,102.4,175.6,66.5,53.9,2414,4,4,122,3.31,3.54,8.7,92,4200,27,32,9988
BMW,98.4,176.2,65.6,52,2551,2,4,146,3.62,3.5,9.3,116,4800,24,30,9989
PORCHE,97.3,171.7,65.5,55.7,2300,4,4,109,3.19,3.4,10,100,5500,26,32,9995
PORCHE,97,173.5,65.4,53,2455,4,4,108,3.62,2.64,9,94,5200,25,31,10198
PORCHE,98.8,177.8,66.5,55.5,2410,4,4,122,3.39,3.39,8.6,84,4800,26,32,10245
PORCHE,96.5,175.4,62.5,54.1,2372,4,4,110,3.15,3.58,9,86,5800,27,33,10295
PORCHE,96.5,169.1,66,51,2293,2,4,110,3.15,3.58,9.1,100,5500,25,31,10345
PORCHE,98.8,177.8,66.5,53.7,2385,2,4,122,3.39,3.39,8.6,84,4800,26,32,10595
PORCHE,102.4,175.6,66.5,54.9,2480,4,4,110,3.27,3.35,22.5,73,4500,30,33,10698
PORCHE,98.8,177.8,66.5,55.5,2443,4,4,122,3.39,3.39,22.7,64,4650,36,42,10795
PORCHE,102.4,175.6,66.5,54.9,2414,4,4,122,3.31,3.54,8.7,92,4200,27,32,10898
PORCHE,95.3,169,65.7,49.6,2380,2,2,70,3.33,3.255,9.4,101,6000,17,23,10945
PORCHE,96,172.6,65.2,51.4,2734,2,4,119,3.43,3.23,9.2,90,5000,24,29,11048
PORCHE,98.4,176.2,65.6,52,2679,2,4,146,3.62,3.5,9.3,116,4800,24,30,11199
PORCHE,98.8,177.8,66.5,55.5,2425,4,4,122,3.39,3.39,8.6,84,4800,26,32,11245
PORCHE,102.4,175.6,66.5,53.9,2458,4,4,122,3.31,3.54,8.7,92,4200,27,32,11248
PORCHE,97,172,65.4,54.3,2510,4,4,108,3.62,2.64,7.7,111,4800,24,29,11259
PORCHE,98.4,176.2,65.6,52,2714,2,4,146,3.62,3.5,9.3,116,4800,24,30,11549
PORCHE,94.5,159.3,64.2,55.6,2254,2,4,109,3.19,3.4,8.5,90,5500,24,29,11595
PORCHE,96.9,173.6,65.4,54.9,2650,4,4,108,3.62,2.64,7.7,111,4800,23,23,11694
PORCHE,95.3,169,65.7,49.6,2380,2,2,70,3.33,3.255,9.4,101,6000,17,23,11845
PORCHE,99.1,186.6,66.5,56.1,2658,2,4,121,3.54,3.07,9.31,110,5250,21,28,11850
PORCHE,107.9,186.7,68.4,56.7,3020,4,4,120,3.46,3.19,8.4,97,5000,19,24,11900
PORCHE,99.1,186.6,66.5,56.1,2695,4,4,121,3.54,3.07,9.3,110,5250,21,28,12170
PORCHE,100.4,183.1,66.9,55.1,2563,4,4,109,3.19,3.4,9,88,5500,25,31,12290
PORCHE,114.2,198.9,68.4,58.7,3230,4,4,120,3.46,3.19,8.4,97,5000,19,24,12440
PORCHE,95.9,173.2,66.3,50.2,2833,2,4,156,3.58,3.86,7,145,5000,19,24,12629
PORCHE,95.9,173.2,66.3,50.2,2818,2,4,156,3.59,3.86,7,145,5000,19,24,12764
PORCHE,104.3,188.8,67.2,56.2,2912,4,4,141,3.78,3.15,9.5,114,5400,23,28,12940
PORCHE,96.5,175.4,65.2,54.1,2465,4,4,110,3.15,3.58,9,101,5800,24,28,12945
PORCHE,95.9,173.2,66.3,50.2,2811,2,4,156,3.6,3.9,7,145,5000,19,24,12964
PORCHE,107.9,186.7,68.4,56.7,3197,4,4,152,3.7,3.52,21,95,4150,28,33,13200
PORCHE,100.4,180.2,66.9,55.1,2661,4,5,136,3.19,3.4,8.5,110,5500,19,24,13295
PORCHE,104.3,188.8,67.2,57.5,3034,4,4,141,3.78,3.15,9.5,114,5400,23,28,13415
PORCHE,88.6,168.8,64.1,48.8,2548,2,4,130,3.47,2.68,9,111,5000,21,27,13495
PORCHE,100.4,181.7,66.5,55.1,3095,4,6,181,3.43,3.27,9,152,5200,17,22,13499
PORCHE,100.4,184.6,66.5,55.1,3060,4,6,181,3.43,3.27,9,152,5200,19,25,13499
PORCHE,95.3,169,65.7,49.6,2385,2,2,70,3.33,3.255,9.4,101,6000,17,23,13645
PORCHE,100.4,180.2,66.9,55.1,2579,4,4,97,3.01,3.4,23,68,4500,33,38,13845
PORCHE,114.2,198.9,68.4,58.7,3430,4,4,152,3.7,3.52,21,95,4150,25,25,13860
PORCHE,99.8,176.6,66.2,54.3,2337,4,4,109,3.19,3.4,10,102,5500,24,30,13950
PORCHE,100.4,184.6,66.5,56.1,3296,4,6,181,3.43,3.27,9,152,5200,17,22,14399
PORCHE,95.9,173.2,66.3,50.2,2926,2,4,156,3.59,3.86,7,145,5000,19,24,14489
PORCHE,95.9,173.2,66.3,50.2,2921,2,4,156,3.59,3.86,7,145,5000,19,24,14869
PORCHE,99.1,186.6,66.5,56.1,2707,2,4,121,2.54,2.07,9.3,110,5250,21,28,15040
PORCHE,99.8,177.3,66.3,53.1,2507,2,5,136,3.19,3.4,8.5,110,5500,19,25,15250
PORCHE,99.1,186.6,66.5,56.1,2758,4,4,121,3.54,3.07,9.3,110,5250,21,28,15510
PORCHE,107.9,186.7,68.4,56.7,3075,4,4,120,3.46,2.19,8.4,95,5000,19,24,15580
PORCHE,95.3,169,65.7,49.6,2500,2,2,80,3.33,3.255,9.4,135,6000,16,23,15645
PORCHE,104.5,187.8,66.5,54.1,3131,4,6,171,3.27,3.35,9.2,156,5200,20,24,15690
PORCHE,104.5,187.8,66.5,54.1,3151,4,6,161,3.27,3.35,9.2,156,5200,19,24,15750
PORCHE,104.3,188.8,67.2,56.2,2935,4,4,141,3.78,3.15,9.5,114,5400,24,28,15985
volkswagen,102.9,183.5,67.7,52,3016,2,6,171,3.27,3.35,9.3,161,5200,19,24,15998
volkswagen,101.2,176.8,64.8,54.3,2395,2,4,108,3.5,2.8,8.8,101,5800,23,29,16430
volkswagen,88.6,168.8,64.1,48.8,2548,2,4,130,3.47,2.68,9,111,5000,21,27,16500
volkswagen,94.5,171.2,65.5,52.4,2823,2,6,152,2.68,3.47,9,154,5000,19,26,16500
volkswagen,102.7,178.4,68,54.8,2910,2,4,140,3.78,3.12,8,175,5000,19,24,16503
volkswagen,104.3,188.8,67.2,57.5,3042,4,4,141,3.78,3.15,9.5,114,5400,24,28,16515
volkswagen,102.9,183.5,67.7,52,2976,2,6,171,3.27,3.35,9.3,161,5200,20,24,16558
volkswagen,107.9,186.7,68.4,56.7,3075,4,4,120,3.46,3.19,8.4,97,5000,19,24,16630
volkswagen,114.2,198.9,68.4,56.7,3285,4,4,120,3.46,2.19,8.4,95,5000,19,24,16695
volkswagen,109.1,188.8,68.9,55.5,2952,4,4,141,3.78,3.15,9.5,114,5400,23,28,16845
volkswagen,107.9,186.7,68.4,56.7,3252,4,4,152,3.7,3.52,21,95,4150,28,33,16900
volkswagen,101.2,176.8,64.8,54.3,2395,4,4,108,3.5,2.8,8.8,101,5800,23,29,16925
volkswagen,114.2,198.9,68.4,58.7,3485,4,4,152,3.7,3.52,21,95,4150,25,25,17075
volkswagen,91.3,170.7,67.9,49.7,3071,2,6,181,3.43,3.27,9,160,5200,19,25,17199
volkswagen,99.4,176.6,66.4,54.3,2824,4,5,136,3.19,3.4,8,115,5500,18,22,17450
volkswagen,98.4,176.2,65.6,53,2975,2,4,146,3.62,3.5,9.3,116,4800,24,30,17669
volkswagen,105.8,192.7,71.4,55.7,2844,4,5,136,3.19,3.4,8.5,110,5500,19,25,17710
volkswagen,99.5,178.2,67.9,52,3053,2,5,131,3.13,3.4,7,160,5500,16,22,17859.167
volkswagen,107.9,186.7,68.4,56.7,3252,4,4,152,3.7,3.52,21,95,4150,28,33,17950
volkswagen,108,186.7,68.3,56,3130,4,4,134,3.61,3.21,7,142,5600,18,24,18150
volkswagen,99.1,186.6,66.5,56.1,2808,2,4,121,3.54,3.07,9,160,5500,19,26,18150
volkswagen,104.9,175,66.1,54.4,2670,4,4,140,3.76,3.16,8,120,5000,19,27,18280
volkswagen,104.9,175,66.1,54.4,2700,4,4,134,3.43,3.64,22,72,4200,31,39,18344
volkswagen,99.2,178.5,67.9,49.7,3139,2,6,181,3.43,3.27,9,160,5200,19,25,18399
volkswagen,104.3,188.8,67.2,56.2,3045,4,4,130,3.62,3.15,7.5,162,5100,17,22,18420
volkswagen,99.1,186.6,66.5,56.1,2847,4,4,121,3.54,3.07,9,160,5500,19,26,18620
volkswagen,105.8,192.7,71.4,55.7,2954,4,5,136,3.19,3.4,8.5,110,5500,19,25,18920
volkswagen,104.3,188.8,67.2,57.5,3157,4,4,130,3.62,3.15,7.5,162,5100,17,22,18950
volkswagen,109.1,188.8,68.8,55.5,3049,4,4,141,3.78,3.15,8.7,160,5300,19,25,19045
volkswagen,91.3,170.7,67.9,49.7,3139,2,6,181,3.43,3.27,7.8,200,5200,17,23,19699
volkswagen,101.2,176.8,64.8,54.3,2710,2,6,164,3.31,3.19,9,121,4250,21,28,20970
volkswagen,101.2,176.8,64.8,54.3,2765,4,6,164,3.31,3.19,9,121,4250,21,28,21105
volkswagen,109.1,188.8,68.9,55.5,3012,4,6,173,3.58,2.87,8.8,134,5500,18,23,21485
volkswagen,94.5,168.9,68.3,50.2,2778,2,4,151,3.94,3.11,9.5,143,5500,19,27,22018
volkswagen,109.1,188.8,68.9,55.5,3217,4,6,145,3.01,3.4,23,106,4800,26,27,22470
volkswagen,109.1,188.8,68.9,55.5,3062,4,4,141,3.78,3.15,9.5,114,5400,19,25,22625
volkswagen,105.8,192.7,71.4,55.9,3086,4,5,131,3.13,3.4,8.3,140,5500,17,20,23875
volkswagen,103.5,189,66.9,55.7,3055,4,6,164,3.31,3.19,9,121,4250,20,25,24565
volkswagen,110,190.9,70.3,56.5,3515,4,5,183,3.58,3.64,21.5,123,4350,22,25,25552
volkswagen,106.7,187.5,70.3,54.9,3495,2,5,183,3.58,3.64,21.5,123,4350,22,25,28176
volkswagen,110,190.9,70.3,58.7,3750,4,5,183,3.58,3.64,21.5,123,4350,22,25,28248
volkswagen,103.5,189,66.9,55.7,3230,4,6,209,3.62,3.39,8,182,5400,16,22,30760
volkswagen,98.4,175.7,72.3,50.5,3366,2,8,203,3.94,3.11,10,288,5750,17,28,31400.5
volkswagen,115.6,202.6,71.7,56.3,3770,4,5,183,3.58,3.64,21.5,123,4350,22,25,31600
volkswagen,113,199.6,69.6,52.8,4066,4,6,258,3.63,4.17,8.1,176,4750,15,19,32250
volkswagen,89.5,168.9,65,51.6,2756,2,6,194,3.74,2.9,9.5,207,5900,17,25,32528
volkswagen,89.5,168.9,65,51.6,2756,2,6,194,3.74,2.9,9.5,207,5900,17,25,34028
volkswagen,115.6,202.6,71.7,56.5,3740,4,8,234,3.46,3.1,8.3,155,4750,16,18,34184
volkswagen,96.6,180.3,70.5,50.8,3685,2,8,234,3.46,3.1,8.3,155,4750,16,18,35056
volkswagen,113,199.6,69.6,52.8,4066,4,6,258,3.63,4.17,8.1,176,4750,15,19,35550
volkswagen,102,191.7,70.6,47.8,3950,2,12,326,3.54,2.76,11.5,262,5000,13,17,36000
volkswagen,110,197,70.9,56.3,3505,4,6,209,3.62,3.39,8,182,5400,15,20,36880
volkswagen,89.5,168.9,65,51.6,2800,2,6,194,3.74,2.9,9.5,207,5900,17,25,37028
volkswagen,120.9,208.1,71.7,56.7,3900,4,8,308,3.8,3.35,8,184,4500,14,16,40960
volkswagen,103.5,193.8,67.9,53.7,3380,2,6,209,3.62,3.39,8,182,5400,16,22,41315
volkswagen,112,199.2,72,55.4,3715,2,8,304,3.8,3.35,8,184,4500,14,16,45400
